ship_mode,segment,country,city,state,postal_code,region,category,sub_category,sales,quantity,discount,profit,authenticator
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,0b3f6a7b-edd3-47e5-887c-885901b111a8
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,9dc36f63-ed42-4b4a-9cc3-ed1aa4ffb1d8
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,32717433-bb83-4038-bc4b-168eb095e483
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,32867601-f3e9-4c49-8659-698443be6545
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,fdd27c36-fd18-43b5-b7c4-1fec8ab9a0da
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,65083006-d722-4a22-a6cc-98dc6f76683e
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,585a61a2-08f3-4c8d-a4b5-09b29757967a
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,e0468aa4-3154-4239-aa6a-edf8aa4d814e
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,42ad4d14-09be-4aea-b4c1-2b07bc9acf02
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,00225094-7e68-4369-b1cf-e2694e3dbdbc
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,a2be7851-8065-4d39-9e06-2bf9063f8bcd
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,fcc2dda6-110d-43f1-8d30-7c86a230eb93
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,fd06d2ba-e35a-4a2d-be94-0f52b1c73add
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,6f153747-1ae0-42f6-96dc-f6008a4c8c46
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,568a1ed2-0c37-4def-a7ee-3a761be047da
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,ea8f439a-d593-49b4-889a-5db63be29036
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,16ca29f1-7b38-411f-9f31-ab6db092dd39
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,9d327fbf-6f18-41bb-a5a3-b4c753421d83
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,f11530f7-77e9-42e8-a63f-e627d3af3071
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,062eee29-bdb2-4f9e-bff4-3ef4e7cdefb4
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,45f47b2b-b1f6-4970-b9d5-78a8f8184d18
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,a91991dd-08e4-4796-b4e7-25ed2870a34f
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,b32452b3-2964-4f5c-a320-c36033d43a1e
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,dd946c57-bb21-4c77-ad0b-675d580493c2
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,b98db3ad-74aa-4c1d-8923-2b38893bd36d
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,9e6e6986-8347-4b09-924d-ed1cf3af5bd1
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,eed792ca-5258-46a1-8d9d-a231002755a1
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,cf8d7002-3149-4f12-bd21-07f2cd828b8f
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,5fc36d6e-9e49-4088-9c0d-f77afb682b5f
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,9bda9fbc-3527-4c57-a6de-af09f0d07999
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,1018b581-9c76-4165-a0a4-d8047121a0f3
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,58a67c1b-1aec-4018-a52e-99f8a732b729
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,1c9c5cd6-ec4c-47de-aff6-b2d7be0d63f7
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,49f903c3-8828-4cda-a522-28410aaae925
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,9ec917a3-6589-4686-9d94-34fb37820f66
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,ce656204-4f3f-40e5-a45b-303cdda13072
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,f21ffa11-26e1-40a0-b3fb-f50e046e4acb
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,af91aa03-4f78-4db5-be64-0e50a9d95621
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,6bbcd2bd-f1d9-494f-808c-5cbe485a8ebd
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,140007fc-9825-46d1-b94d-bb3c54d2ebd4
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,1d2b78da-abf6-4d19-ae08-88b9fdc9f1bd
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,1acccce6-10e6-4039-974b-101e0003331e
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,23670c13-137d-4621-b7f3-dff97dc40b69
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,6f703deb-97ca-4c63-bbf8-06e57def957b
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,85c459b9-ce3b-4c57-b273-fd192b6e8939
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,872d0f81-798f-4457-b5c9-33e3501a1d67
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,c82bd4f6-6a61-4066-98e7-76d686529898
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,8b6c4c69-5ab8-4d94-830c-0cf028dd3705
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,4bb68e7f-a2f5-4b38-b338-61ac3cd430fc
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,ed714c4e-6a36-411e-bd79-7cae584e924f
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,2e4def32-9bd9-48f1-b2f5-8550345dceeb
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,a7e92d1a-71a1-4829-920b-3f1d5f0195a1
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,304f4ca2-217a-44e9-8f7c-c13b6ef80fcb
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,1b9b554d-8434-44d3-99cc-8857fc9f2baf
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,510d4e9d-b132-4959-b126-723674324ca1
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,5d4646d1-2b9e-4483-9910-c2cdf4c1c0a3
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,954c983d-3ad7-4cc9-835a-bf9870ade071
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,b3a4b8a3-a053-4eda-bb8e-cc536366969b
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,e445eb87-0c0a-46ff-bab5-5cc9d8041da3
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,faaacd87-c66e-4110-9112-64ff95ddc964
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,1e3bb8a3-e302-401b-93a0-a065f63aec0c
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,8e56755f-673c-4955-be19-f80dc2f141b5
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,8e5dd1d6-568c-4c10-aa9e-45cf8db1d39a
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,85109cf9-dd7b-41bc-8f06-b2f0433ba70c
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,8151ba1f-4ea6-430f-a2f9-e6a091397cdf
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,b0f36f7b-dc33-4a79-84d6-af6dec0dbedc
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,3adde5e4-d6eb-4d3c-a350-b1d8e10ac964
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,465957fc-1aee-4753-b6e8-1293660ed08e
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,4139a032-e18e-4c65-850c-afff323e896f
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,2752e590-36aa-424b-b2ba-a18b79d10c3b
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,9c9da117-bdd4-46f3-bcb0-1dd0d129ffb6
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,f37ccdb7-d090-4662-bd58-49773f57b5d7
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,cb36a20c-fe71-4842-89c9-0a0d4fb6f8d9
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,3ffab7f9-ffbb-4923-9657-f74308723a16
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,915cdc9d-d934-4cb9-b786-3b0df9b88ff6
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,b264eaa8-7312-4a6b-9a0f-99d5492239e9
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,22286647-3ce8-432f-b697-25daa61c87db
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,5bd7c534-d3d8-40dd-9aee-c8851ec5bc50
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,5d1bdda9-acee-41ab-8291-ad587f7130e6
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,2bd2a1f2-d923-4d36-a986-48cf9a45609f
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,42238fae-2cb6-4c60-aa7b-e3b5231b58b0
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,53ea7182-715f-4530-9cba-6e21cdb09fe2
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,9b5f7a5a-9c3b-4d5b-9695-f45ffad521e5
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,769ed5bb-94cf-4419-ad67-bb9aa51968f3
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,b0131a6e-0efc-444f-8d4f-a6eb9917c99c
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,f5d66003-9a5a-486a-b0c3-04fb48768f7a
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,1aada1be-d54f-41f9-b2aa-07b17a5f6d79
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,58bb5865-1636-45b2-8ec1-1cefdfb9049a
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,b55e5afd-c088-4dba-a189-84690c3f69d6
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,f161e708-94ce-4c16-a218-00d59d6380ac
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,5613ac52-794b-4477-a178-943693d95246
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,a6fa1eb9-4c7a-4a4f-a53d-238f01521d17
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,cb9675f1-a9ed-4ce0-9432-b9d1901df1d8
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,146be8cc-8e36-4ed3-ae7e-4583709ee22b
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,2565f6de-11a8-4037-bd23-cd76dd64b256
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,476a6cce-c596-4051-9eb4-b5b775298615
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,3604086c-7dc2-4bdd-b6b5-bbf2608f3110
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,07d57735-b233-4ac8-a892-d1bf6339b6d6
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,8a3b305b-3424-4c00-81c3-f77948c9b316
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,9a128b4e-0bc9-4c76-a702-27f27267b3bf
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,0826aab8-137b-44db-89c7-bd03b40a073d
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,b777cafa-62fd-4b0a-ac44-83c78e048f9f
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,119c89f5-281e-41f3-a7cc-5038b6b6ff45
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,825a8d24-795e-4824-8b5b-c168301e1cf6
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,25df2e0c-2c0b-4b80-adb1-34cb87014fae
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,c83bab1f-9fb6-4071-a4bf-6d12797f0801
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,82366f3b-6996-4fc4-9fc0-9e419ba601f8
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096,71b8de3e-bdb1-430c-a343-6fc8adcd33c0
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015,4e81ae3c-8150-4c25-818e-f7e55de05784
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988,f2d0d35c-6afa-43c2-96b0-399a6d90ccf1
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552,f08c5991-3573-4648-b9e5-fc17af150585
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,b21272f8-1a9e-4d7a-95f3-36404344ceaa
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766,24cdcad4-94e3-42b9-b694-d132e43dc410
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388,f9131efb-de03-4fc2-b547-e9e4a5f5e27c
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271,c7536259-2172-4d4c-ac59-d6cf487a8d1c
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0.0,48.5392,fb7570e8-7de0-4c42-8ef2-83e454b412f1
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0.0,21.0288,642ca6c0-7efa-4474-9c2e-94717a6d07f8
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.0,1.7901,127bcda2-57ab-4ed1-816e-bec6e0cdb7ad
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764,c3501c2a-b82e-4d0c-a24a-55a59b09eeda
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,a4067ced-af28-46d7-bbbc-b5e98f9c2490
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.0,236.2325,2b01980c-d1b2-43be-84d8-1227c979b0f3
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691,352cd7d4-15aa-4f33-bd37-f1c4d5d715a2
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596,e08d0c29-0d58-4610-9897-a529e2ef680f
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,f6fbf5fa-c574-48bd-9c46-b63988803c0f
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.688,f57606b1-1662-4a10-9620-a272c1fcf875
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324,40213d7c-839b-4c72-9035-992c42db6b20
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,-1359.992,39a55624-1847-42c4-89f2-7d951ec1fbe6
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,666b24da-0ddd-4b30-a934-239f992c3147
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,5f4f7a72-83df-47e3-bbc6-2d222bca4ffc
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136,37cc3ddf-ebd3-45c7-ab80-0c85cc68166a
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,d1ae71a0-0d29-4b07-8eb4-2e3b26a27491
